n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.0,223.9,112.6,1.99,271.4,202.3,-0.007,88918.0,,Coordinated_Attack__videoplayback (4)_clip_117.csv,Coordinated Attack,0.9691905310967791
29,0.0,288.7,121.6,2.38,274.7,103.0,0.087,188659.0,,Coordinated_Attack__videoplayback (4)_clip_122.csv,Coordinated Attack,1.868720569920469
29,0.5862068965517241,494.8,182.2,2.72,288.1,236.3,0.142,207503.0,-12.0,Coordinated_Attack__videoplayback (4)_clip_126.csv,Coordinated Attack,3.7695128076956577
29,0.9655172413793104,257.1,147.3,1.75,375.3,130.7,-0.025,174603.0,4.0,Coordinated_Attack__videoplayback (4)_clip_129.csv,Coordinated Attack,2.0088105970813452
29,0.0,322.4,124.9,2.58,404.7,97.9,0.261,175691.0,,Coordinated_Attack__videoplayback (4)_clip_131.csv,Coordinated Attack,2.719036972398824
29,0.896551724137931,310.7,155.7,2.0,327.5,275.0,0.031,201417.0,14.0,Coordinated_Attack__videoplayback (4)_clip_133.csv,Coordinated Attack,2.397701584478982
29,0.0,252.7,115.3,2.19,283.1,102.1,0.091,156774.0,,Coordinated_Attack__videoplayback (4)_clip_136.csv,Coordinated Attack,1.2962403207837274
29,0.8275862068965517,192.7,121.6,1.58,282.7,148.8,-0.027,210406.0,14.0,Coordinated_Attack__videoplayback (4)_clip_138.csv,Coordinated Attack,2.439078338982633
29,0.4482758620689655,288.6,83.3,3.46,298.2,132.5,0.054,254793.0,,Coordinated_Attack__videoplayback (4)_clip_141.csv,Coordinated Attack,3.187042206010768
29,0.0,321.8,177.0,1.82,283.5,226.6,0.027,186172.0,,Coordinated_Attack__videoplayback (4)_clip_144.csv,Coordinated Attack,2.06191142314359
29,0.0,373.5,147.4,2.53,262.5,154.5,0.094,159372.0,,Coordinated_Attack__videoplayback (4)_clip_146.csv,Coordinated Attack,2.208124556505674
29,0.0,126.6,66.7,1.9,313.1,92.2,-0.027,156203.0,,Coordinated_Attack__videoplayback (4)_clip_147.csv,Coordinated Attack,1.878355229091985
29,0.7241379310344828,274.9,132.4,2.08,303.5,118.7,0.059,123332.0,5.0,Coordinated_Attack__videoplayback (4)_clip_148.csv,Coordinated Attack,1.0348175418729726
29,0.7931034482758621,302.1,164.4,1.84,283.9,182.0,0.058,173932.0,11.0,Coordinated_Attack__videoplayback (4)_clip_152.csv,Coordinated Attack,1.7425176228297787
29,0.7586206896551724,364.0,160.1,2.27,273.7,459.7,0.196,177190.0,16.0,Coordinated_Attack__videoplayback (4)_clip_155.csv,Coordinated Attack,3.628670620907516
29,0.20689655172413793,315.7,152.9,2.06,354.2,305.3,0.183,158457.0,,Coordinated_Attack__videoplayback (4)_clip_157.csv,Coordinated Attack,2.290722047805044
29,0.5517241379310345,343.9,191.6,1.8,252.4,163.4,0.067,206647.0,,Coordinated_Attack__videoplayback (4)_clip_158.csv,Coordinated Attack,2.698603246001728
29,0.896551724137931,220.0,122.2,1.8,322.5,121.2,0.068,182481.0,19.0,Coordinated_Attack__videoplayback (4)_clip_159.csv,Coordinated Attack,1.7930325225423516
29,0.4827586206896552,426.0,183.3,2.32,298.9,326.2,0.029,167701.0,,Coordinated_Attack__videoplayback (4)_clip_160.csv,Coordinated Attack,2.6835566189511875
29,0.6896551724137931,390.1,279.6,1.4,404.0,266.2,0.093,61988.0,5.0,Coordinated_Defense__videoplayback (1)_clip_003.csv,Coordinated Defense,2.6519975655888364
29,0.0,316.6,87.6,3.62,343.9,106.6,0.037,95801.0,,Coordinated_Defense__videoplayback (1)_clip_005.csv,Coordinated Defense,2.745375459897459
29,0.4482758620689655,275.6,88.5,3.12,237.2,134.1,0.173,85244.0,-13.0,Coordinated_Defense__videoplayback (1)_clip_008.csv,Coordinated Defense,2.174253203451074
29,0.20689655172413793,286.1,134.5,2.13,260.1,213.0,0.019,62448.0,0.0,Coordinated_Defense__videoplayback (1)_clip_010.csv,Coordinated Defense,1.1996634991311357
29,0.0,133.7,93.5,1.43,584.4,84.7,0.148,49272.0,,Coordinated_Defense__videoplayback (1)_clip_013.csv,Coordinated Defense,3.3747792775253314
29,0.0,206.6,77.9,2.65,503.7,93.1,-0.079,41426.0,,Coordinated_Defense__videoplayback (1)_clip_014.csv,Coordinated Defense,2.68006456510902
29,0.13793103448275862,274.8,190.1,1.45,448.0,204.8,0.407,20009.0,0.0,Coordinated_Defense__videoplayback (1)_clip_015.csv,Coordinated Defense,2.592172341050381
29,0.0,115.8,95.1,1.22,493.8,65.2,-0.003,35594.0,,Coordinated_Defense__videoplayback (1)_clip_017.csv,Coordinated Defense,2.816142321216594
